"p","x","q","y","cond","id"
80,100,100,10,"Both",320
20,100,40,20,"Both",321
20,100,80,20,"Both",322
40,100,60,20,"Both",323
40,100,80,20,"Both",324
60,100,100,20,"Both",325
20,100,40,50,"Both",326
20,100,60,50,"Both",327
40,100,60,50,"Both",328
40,100,80,50,"Both",329
60,100,100,50,"Both",330
20,200,40,10,"Both",331
40,200,60,10,"Both",332
40,200,80,10,"Both",333
40,200,100,10,"Both",334
80,200,100,10,"Both",335
20,200,80,20,"Both",336
20,200,100,20,"Both",337
40,200,80,20,"Both",338
60,200,100,20,"Both",339
80,200,100,20,"Both",340
20,200,40,50,"Both",341
20,200,80,50,"Both",342
40,200,80,50,"Both",343
40,200,100,50,"Both",344
60,200,100,50,"Both",345
20,200,60,100,"Both",346
20,200,100,100,"Both",347
40,200,60,100,"Both",348
40,200,80,100,"Both",349
40,200,100,100,"Both",350
