sub.id,sub.no,cond,experiment.duration,user.agent,PA.id,verification,time,ip
65,86,Both,592489,"Mozilla/5.0 (Windows NT 6.3 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",A1P3Z24Y6GRNVA,4wr46wvxoof,19:22:49 Tue 01 Sep 15,23.226.165.254
66,12,Positive,678785,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.89 Safari/537.36",AGSJDRTI0DUWU,ojqklwod8bvgqfr,19:22:49 Tue 01 Sep 15,98.178.246.199
67,114,Positive,468514,"Mozilla/5.0 (X11 CrOS x86_64 7077.134.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.156 Safari/537.36", A3G5IPGLH1IIZN,s2fthzn39xhzd7vi,19:22:58 Tue 01 Sep 15,108.32.45.233
68,122,Both,397189,"Mozilla/5.0 (Windows NT 6.3 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.89 Safari/537.36",A2NA2OJT15COZY,9ax8j8l82svh1tt9,19:23:05 Tue 01 Sep 15,99.135.147.112
69,81,Positive,626756,"Mozilla/5.0 (Windows NT 10.0 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",A1O4Q0QVPVBF8M,vfhnd037cl,19:23:05 Tue 01 Sep 15,108.6.178.92
70,112,Uniform,513334,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A1CSDIX05PK9V,awf5himube0442t9,19:23:18 Tue 01 Sep 15,207.59.104.106
71,26,Both,702436,"Mozilla/5.0 (Windows NT 6.3 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A1QB42OYEG1553,0b4tn22cj2rcnmi,19:23:23 Tue 01 Sep 15,108.202.70.20
72,62,Both,667955,"Mozilla/5.0 (Windows NT 6.1 Win64 x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",A3USS4O0RQZ37K,rxl38cpjutdo0f6r,19:23:25 Tue 01 Sep 15,75.181.156.204
73,63,Positive,668441,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36",A38THML7DR8UXI,vsbfgl0g64fpf1or,19:23:26 Tue 01 Sep 15,99.51.10.85
74,130,Uniform,337471,"Mozilla/5.0 (Windows NT 6.1 WOW64 rv:40.0) Gecko/20100101 Firefox/40.0",A1A2X0T1XE8K89,7j4pf7t36sr,19:23:28 Tue 01 Sep 15,99.169.245.120
75,56,Both,683683,"Mozilla/5.0 (Windows NT 6.3 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",AD1ILDUXZHASF,sfv4njythx2mx6r,19:23:37 Tue 01 Sep 15,96.238.26.243
76,106,Uniform,590432,"Mozilla/5.0 (Windows NT 6.1 rv:39.0) Gecko/20100101 Firefox/39.0",A26UIS59SY4NM6,oqv9xjn82ge,19:23:41 Tue 01 Sep 15,104.156.228.121
77,100,Uniform,608865,"Mozilla/5.0 (Windows NT 6.1 WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",AUVC78LEL0T6L,7qqdaah14ptx1or,19:23:41 Tue 01 Sep 15,208.78.251.125
